Date,Adj Close,Close,High,Low,Open,Volume,Year,MA10,MA50,Daily_Return,Volatility,Target,Literacy_Rate,Education_Expenditure,GDP_Growth,Inflation,Unemployment
2015-03-16,180.19918823242188,192.48989868164062,195.1986083984375,192.0784454345703,194.63858032226562,13839990,2015,198.3781967163086,201.2032568359375,-0.009410624898065212,0.018170209017561476,1,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
2015-03-17,183.35548400878906,195.8614959716797,196.5586700439453,192.2384490966797,194.42141723632812,19070082,2015,198.20904541015625,201.06130676269532,0.017515710243140248,0.018828224620514648,1,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
2015-03-18,185.88055419921875,198.55877685546875,199.38168334960938,195.3700408935547,195.89578247070312,9269885,2015,197.47415008544922,200.98404571533203,0.013771368744059265,0.012781244541157805,0,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
2015-03-19,183.20571899414062,195.7014923095703,200.39886474609375,195.23289489746094,200.13600158691406,13934612,2015,196.74954223632812,200.89398406982423,-0.014390119596567885,0.012782559974869732,0,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
2015-03-20,182.76702880859375,195.23289489746094,196.8444061279297,193.97567749023438,196.10150146484375,10405717,2015,196.04436340332032,200.9762741088867,-0.0023944498663716063,0.012787725099426129,0,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
2015-03-23,180.16705322265625,192.4556121826172,197.49586486816406,191.5755615234375,195.781494140625,13251683,2015,195.41118927001952,200.9198141479492,-0.014225485496705992,0.012452116691967153,1,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
2015-03-24,181.45098876953125,193.8271026611328,195.2786102294922,192.48989868164062,192.48989868164062,9238431,2015,195.15517578125,200.9467868041992,0.0071262690807594176,0.012405488578494448,0,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
2015-03-25,180.79835510253906,193.1299285888672,194.18141174316406,192.2384490966797,194.06712341308594,10264941,2015,194.9025909423828,200.8763833618164,-0.0035968864142001955,0.012402714705306664,0,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
2015-03-26,177.4601287841797,189.56402587890625,194.124267578125,188.37539672851562,192.2613067626953,20621346,2015,194.11397857666014,200.78037841796876,-0.01846374995328659,0.012896746066591741,0,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
2015-03-27,173.69395446777344,185.5409698486328,190.86695861816406,183.19798278808594,190.61550903320312,23326922,2015,193.23621978759766,200.6365997314453,-0.021222676674124696,0.013540445802104546,0,,4.1145601272583,7.99625378571471,4.90697344127256,7.629
